INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
235	20210322	한국어	교통	항공&배편	도내배편	성산	연락처	우도	성산항	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210322	성산	구름조금
236	20210319	한국어	교통	항공&배편	도내배편	성산	연락처	우도	문자	성산항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210319	성산	비
237	20210322	한국어	교통	항공&배편	입도배편	성산	연락처	우도	렌터카	방문	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210322	성산	구름조금
238	20210322	한국어	교통	항공&배편	도내배편	성산	연락처	우도	성산항	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210322	성산	구름조금
239	20210322	한국어	교통	항공&배편	도내배편	성산	연락처	우도	성산항	방문	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210322	성산	구름조금
240	20210314	한국어	교통	항공&배편	도내배편	성산	연락처	우도	이용		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210314	성산	맑음
241	20210318	한국어	교통	항공&배편	입도배편	성산	연락처	안내소	우도	정상운영	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210318	성산	흐림
242	20210322	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210322	성산	구름조금
243	20210331	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210406	성산	구름조금
244	20210310	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210310	성산	맑음
245	20210317	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210317	성산	구름조금
246	20210311	한국어	교통	항공&배편	기타	성산	우도	성산포항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210311	성산	비
247	20210318	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210318	성산	흐림
248	20210323	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210323	성산	맑음
249	20210312	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210312	성산	비
250	20210324	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210324	성산	흐림
251	20210324	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	방문	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210324	성산	흐림
252	20210326	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210326	성산	맑음
253	20210324	한국어	교통	항공&배편	항공	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210324	성산	흐림
254	20210316	한국어	교통	항공&배편	도내배편	성산	우도	문자	성산항	제주	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210316	성산	비
255	20210330	한국어	교통	항공&배편	도내배편	성산	우도	유선	이용	성산포항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210330	성산	구름조금
256	20210331	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210331	성산	흐림
257	20210322	한국어	교통	항공&배편	입도배편	성산	우도	유선	성산항	방문	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210322	성산	구름조금
