INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
531	20210628	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210628	성산	구름조금
532	20210628	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210628	성산	구름조금
533	20210625	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210625	성산	흐림
534	20210630	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210630	성산	구름조금
535	20210624	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210624	성산	구름많음
536	20210629	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210629	성산	구름조금
537	20210623	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210623	성산	구름조금
538	20210628	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210628	성산	구름조금
539	20210625	영어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210625	성산	흐림
540	20210614	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210614	성산	구름많음
541	20210616	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210616	성산	비
542	20210607	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210607	성산	맑음
543	20210618	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210618	성산	비
544	20210615	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210615	성산	비
545	20210610	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210610	성산	비
546	20210611	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210611	성산	비
547	20210602	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210602	성산	흐림
548	20210603	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210603	성산	비
549	20210611	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210611	성산	비
550	20210617	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210617	성산	흐림
551	20210606	한국어	교통	항공&배편	도내배편	성산	우도	정상운영	성산항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210606	성산	구름조금
552	20210606	한국어	교통	항공&배편	도내배편	성산	우도	성산항	시간표	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210606	성산	구름조금
553	20210610	한국어	교통	항공&배편	도내배편	성산	우도	성산항	방문	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210610	성산	비
554	20210612	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210612	성산	구름조금
555	20210606	한국어	교통	항공&배편	도내배편	성산	성산항	종달리항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210606	성산	구름조금
556	20210613	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210613	성산	구름많음
557	20210608	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210608	성산	비
558	20210608	한국어	교통	항공&배편	도내배편	성산	우도	테마파크	왕복	파크	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210608	성산	비
559	20210601	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210601	성산	구름조금
560	20210603	한국어	교통	항공&배편	도내배편	성산	우도	문자	성산항	제주	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210603	성산	비
561	20210609	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210609	성산	구름많음
