INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
859	20210923	한국어	교통	항공&배편	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210923	성산	구름조금
860	20210928	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210928	성산	구름많음
861	20210903	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210903	성산	비
862	20210912	한국어	교통	항공&배편	도내배편	성산	성산포항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210912	성산	흐림
863	20210918	한국어	교통	항공&배편	도내배편	성산	우도	중문	성산항	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210918	성산	구름많음
864	20210909	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210909	성산	구름조금
865	20210909	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210909	성산	구름조금
866	20210909	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210909	성산	구름조금
867	20210901	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210901	성산	비
868	20210902	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210902	성산	비
869	20210911	한국어	교통	항공&배편	도내배편	성산	우도	이용			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210911	성산	구름많음
870	20210926	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210926	성산	구름많음
871	20210930	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210930	성산	비
872	20210913	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210913	성산	비
873	20210907	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210907	성산	비
874	20210918	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210918	성산	구름많음
875	20210916	한국어	교통	항공&배편	입도배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210916	성산	비
876	20210910	한국어	교통	항공&배편	도내배편	성산	우도	유선	성산항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210910	성산	비
877	20210918	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210918	성산	구름많음
878	20210918	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210918	성산	구름많음
879	20210921	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210921	성산	비
880	20210921	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210921	성산	비
881	20210920	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210920	성산	구름조금
882	20210920	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210920	성산	구름조금
883	20210922	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210922	성산	맑음
884	20210907	한국어	교통	항공&배편	도내배편	성산	이용	성산포항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210907	성산	비
885	20210908	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210908	성산	구름조금
886	20210906	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210906	성산	비
887	20210917	한국어	교통	항공&배편	입도배편	성산	우도	성산항	이용	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210917	성산	비
888	20210910	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210910	성산	비
889	20210919	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210919	성산	구름조금
890	20210915	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210915	성산	비
891	20210916	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210916	성산	비
892	20210917	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210917	성산	비
893	20210904	한국어	교통	항공&배편	도내배편	성산	우도	제주	성산포항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210904	성산	구름많음
894	20210923	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210923	성산	구름조금
895	20210908	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210908	성산	구름조금
896	20210909	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210909	성산	구름조금
897	20210914	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210914	성산	비
898	20210927	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210927	성산	구름많음
899	20210929	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210929	성산	비
900	20210929	한국어	교통	항공&배편	도내배편	성산	우도	유선	성산항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210929	성산	비
901	20210923	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210923	성산	구름조금
902	20210923	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210923	성산	구름조금
903	20210924	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210924	성산	구름조금
904	20210903	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210903	종달리항	비
905	20210914	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210914	종달리항	비
906	20210929	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210929	종달리항	비
907	20210902	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210902	종달리항	비
908	20210912	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210912	종달리항	흐림
909	20210913	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210913	종달리항	비
910	20210915	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210915	종달리항	비
911	20210916	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210916	종달리항	비
912	20210901	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210901	종달리항	비
913	20210925	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210925	종달리항	비
914	20210904	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210904	종달리항	흐림
915	20210918	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210918	종달리항	구름조금
916	20210923	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210923	종달리항	구름조금
917	20210921	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210921	종달리항	비
918	20210928	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210928	종달리항	구름많음
919	20210908	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210908	종달리항	구름조금
920	20210920	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210920	종달리항	구름조금
921	20210930	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210930	종달리항	비
922	20210922	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210922	종달리항	맑음
923	20210910	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210910	종달리항	비
924	20210919	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210919	종달리항	맑음
925	20210917	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210917	종달리항	비
926	20210906	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210906	종달리항	비
927	20210907	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210907	종달리항	비
928	20210924	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210924	종달리항	구름조금
929	20210927	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210927	종달리항	구름많음
930	20210903	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210903	우도	비
931	20210904	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210904	우도	흐림
932	20210917	한국어	교통	항공&배편	입도배편	우도	이용				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210917	우도	비
933	20210918	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210918	우도	구름조금
934	20210923	한국어	교통	항공&배편	도내배편	우도	숙박	제주	렌트	선적	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210923	우도	구름조금
935	20210903	한국어	교통	항공&배편	도내배편	우도	렌트	선적	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210903	우도	비
936	20210915	한국어	교통	항공&배편	도내배편	우도	이용	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210915	우도	비
937	20210926	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210926	우도	구름많음
938	20210916	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210916	우도	비
939	20210917	한국어	교통	항공&배편	도내배편	우도	숙박				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210917	우도	비
940	20210917	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210917	우도	비
