INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
338	20210403	한국어	교통	버스	도내배편	마라도	우도	가파도	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210403	마라도	비
339	20210405	한국어	교통	버스	도내배편	마라도	유선	현장	드림	할인	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210405	마라도	구름조금
340	20210430	한국어	교통	버스	도내배편	마라도	유선	현장	드림	할인	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210430	마라도	비
341	20210430	한국어	교통	버스	도내배편	마라도	문자	할인	모슬포	제주	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210430	마라도	비
342	20210411	한국어	교통	버스	도내배편	마라도	유선	현장	드림	할인	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210413	마라도	구름많음
343	20210401	한국어	교통	택시	도내배편	마라도	유선	현장	드림	할인	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210401	마라도	비
344	20210424	한국어	교통	택시	도내배편	마라도	선사	가파도	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210424	마라도	구름조금
345	20210424	한국어	교통	항공&배편	도내배편	성산	우도	문자	안전	성산항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210424	성산	구름많음
346	20210402	한국어	교통	항공&배편	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210402	성산	비
347	20210417	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210417	성산	맑음
348	20210404	한국어	교통	항공&배편	도내배편	성산	우도	성산포항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210404	성산	비
349	20210419	한국어	교통	항공&배편	도내배편	성산	우도	유선	문자	성산항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210419	성산	맑음
350	20210429	한국어	교통	항공&배편	도내배편	성산	우도	항일	성산항	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210429	성산	구름조금
351	20210419	한국어	교통	항공&배편	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210419	성산	맑음
352	20210430	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210430	성산	비
353	20210416	영어	교통	렌터카	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210421	성산	구름많음
354	20210411	한국어	교통	렌터카	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210411	성산	구름조금
355	20210413	한국어	교통	렌터카	도내배편	성산	우도	숙박	문자	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210413	성산	흐림
356	20210411	한국어	교통	렌터카	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210411	성산	구름조금
357	20210416	영어	교통	렌터카	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210421	성산	구름많음
358	20210428	한국어	교통	버스	도내배편	성산	우도	현장	성산항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210428	성산	흐림
359	20210413	한국어	교통	버스	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210413	성산	흐림
360	20210412	한국어	교통	버스	도내배편	성산	우도	현장	성산항	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210412	성산	비
361	20210401	한국어	교통	버스	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210401	성산	비
362	20210403	한국어	교통	버스	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210403	성산	비
