INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
1109	20211129	한국어	교통	항공&배편	도내배편	성산	성산항	종달리항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211129	성산	구름조금
1110	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	방문	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1111	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	방문	선적	일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211109	성산	비
1112	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1113	20211105	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211105	성산	비
1114	20211117	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211117	성산	구름조금
1115	20211106	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211106	성산	구름많음
1116	20211113	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211113	성산	구름많음
1117	20211116	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211116	성산	구름많음
1118	20211110	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211110	성산	비
1119	20211118	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211118	성산	맑음
1120	20211107	한국어	교통	항공&배편	도내배편	성산	우도	서귀포	성산항	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211107	성산	구름조금
1121	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1122	20211106	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211106	성산	구름많음
1123	20211106	한국어	교통	항공&배편	입도배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211106	성산	구름많음
1124	20211102	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211102	성산	구름조금
1125	20211103	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211103	성산	구름조금
1126	20211122	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211122	성산	비
1127	20211116	한국어	교통	항공&배편	입도배편	성산	우도	성산항	문의처	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211116	성산	구름많음
1128	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1129	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	방문		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1130	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	방문	운항	일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211109	성산	비
1131	20211122	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211122	성산	비
1132	20211108	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211108	성산	비
1133	20211108	한국어	교통	항공&배편	입도배편	성산	우도	유선	성산항	종달리항	일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211108	성산	비
1134	20211120	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211120	성산	맑음
1135	20211104	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211104	성산	구름조금
1136	20211109	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211109	성산	비
1137	20211109	한국어	교통	항공&배편	입도배편	성산	우도	운항			일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211109	성산	비
1138	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1139	20211129	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211129	성산	구름조금
1140	20211101	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211101	성산	구름조금
1141	20211123	한국어	교통	항공&배편	도내배편	성산	유선	성산항	이용	성산포항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211123	성산	비
1142	20211126	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211126	성산	맑음
1143	20211111	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211111	성산	비
1144	20211110	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211110	성산	비
1145	20211112	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211112	성산	비
1146	20211118	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211118	성산	맑음
1147	20211109	한국어	교통	항공&배편	도내배편	성산	성산항	종달리항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211109	성산	비
1148	20211112	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211112	성산	비
1149	20211109	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	성산	비
1150	20211111	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211111	성산	비
1151	20211127	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211127	성산	맑음
1152	20211128	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211128	성산	구름조금
1153	20211130	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211130	성산	비
1154	20211130	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211130	성산	비
1155	20211130	한국어	교통	항공&배편	입도배편	성산	우도	성산항	이용	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211130	성산	비
1156	20211130	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211130	성산	비
1157	20211130	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211130	성산	비
1158	20211123	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211123	성산	비
1159	20211123	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211123	성산	비
1160	20211115	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211115	성산	맑음
1161	20211119	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211119	성산	맑음
1162	20211124	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211124	성산	구름조금
1163	20211125	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211125	성산	맑음
1164	20211106	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211106	우도	구름많음
1165	20211106	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211106	우도	구름많음
1166	20211108	한국어	교통	항공&배편	도내배편	우도	유선	문의처	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211108	우도	비
1167	20211107	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211107	우도	구름많음
1168	20211114	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211114	우도	맑음
1169	20211110	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211110	우도	비
1170	20211114	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211114	우도	맑음
1171	20211107	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211107	우도	구름많음
1172	20211107	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211107	우도	구름많음
1173	20211102	한국어	교통	항공&배편	도내배편	우도	숙박	신분증	렌트		일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211102	우도	구름많음
1174	20211108	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211108	우도	비
1175	20211122	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211122	우도	비
1176	20211125	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211125	우도	맑음
1177	20211120	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211120	우도	맑음
1178	20211122	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211122	우도	비
1179	20211122	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211122	우도	비
1180	20211122	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211122	우도	비
1181	20211106	한국어	교통	항공&배편	도내배편	우도	종달리항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211106	우도	구름많음
1182	20211121	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211121	우도	흐림
1183	20211106	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211106	우도	구름많음
1184	20211109	한국어	교통	항공&배편	도내배편	우도	이용	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211109	우도	비
1185	20211108	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211108	우도	비
1186	20211127	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211127	우도	맑음
1187	20211127	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211127	우도	맑음
1188	20211115	한국어	교통	항공&배편	도내배편	우도	숙박	문자	렌트		일반	휴양 및 관광	포털사이트	일반	전화	인바운드	완료	20211115	우도	맑음
