INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
617	20210701	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210701	종달리항	구름조금
618	20210705	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210705	종달리항	비
619	20210706	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210706	종달리항	흐림
620	20210709	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210709	종달리항	비
621	20210719	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210719	종달리항	구름조금
622	20210703	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210703	종달리항	비
623	20210708	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210708	종달리항	비
624	20210707	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210707	종달리항	비
625	20210714	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210714	종달리항	흐림
626	20210718	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210718	종달리항	비
627	20210721	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210727	종달리항	구름조금
628	20210710	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210710	종달리항	구름많음
629	20210713	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210713	종달리항	구름많음
630	20210702	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210702	종달리항	흐림
631	20210730	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210730	종달리항	비
632	20210728	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210728	종달리항	맑음
633	20210712	한국어	교통	항공&배편	도내배편	종달리항	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210712	종달리항	구름많음
