INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
440	20210519	한국어	교통	항공&배편	도내배편	성산	우도	숙소	성산항	신분증	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210519	성산	구름많음
441	20210513	한국어	교통	항공&배편	도내배편	성산	우도	문자	안전	드림	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210513	성산	구름조금
442	20210513	한국어	교통	항공&배편	도내배편	성산	우도	드림	성산항	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210513	성산	구름조금
443	20210518	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210518	성산	구름많음
444	20210512	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210512	성산	비
445	20210516	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210516	성산	비
446	20210517	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210517	성산	비
447	20210501	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210501	성산	비
448	20210503	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210503	성산	구름조금
449	20210519	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210519	성산	구름많음
450	20210512	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210512	성산	비
451	20210523	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210523	성산	구름조금
452	20210508	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210508	성산	구름많음
453	20210507	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210507	성산	구름조금
454	20210510	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210510	성산	구름조금
455	20210517	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210517	성산	비
456	20210525	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210525	성산	구름많음
457	20210524	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210524	성산	비
458	20210526	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210526	성산	비
459	20210527	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210527	성산	비
460	20210513	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210513	성산	구름조금
461	20210504	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210504	성산	비
462	20210501	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210503	성산	구름조금
463	20210520	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210520	성산	비
464	20210514	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210514	성산	흐림
465	20210523	한국어	교통	항공&배편	도내배편	성산	우도	성산포항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210523	성산	구름조금
466	20210509	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210509	성산	맑음
467	20210530	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210530	성산	맑음
468	20210531	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210531	성산	구름조금
469	20210506	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210506	성산	구름조금
470	20210527	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210527	성산	비
471	20210522	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210522	성산	구름조금
472	20210528	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210528	성산	비
