INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
729	20210801	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210801	우도	비
730	20210824	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210824	우도	비
731	20210824	중국어	교통	항공&배편	도내배편	우도	이용	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210824	우도	비
732	20210828	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210828	우도	구름조금
733	20210828	한국어	교통	항공&배편	도내배편	우도	선적				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210828	우도	구름조금
734	20210806	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210806	우도	맑음
735	20210828	한국어	교통	항공&배편	도내배편	우도	렌트	선적			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210828	우도	구름조금
736	20210829	한국어	교통	항공&배편	도내배편	우도	종달리항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210829	우도	맑음
737	20210825	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210825	우도	비
738	20210825	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210825	우도	비
739	20210814	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210814	우도	비
740	20210827	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210827	우도	비
741	20210807	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210807	우도	구름조금
742	20210816	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210816	우도	비
743	20210824	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210824	우도	비
744	20210824	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210824	우도	비
745	20210822	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210822	우도	비
746	20210822	한국어	교통	항공&배편	도내배편	우도	방문				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210822	우도	비
747	20210825	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210825	우도	비
748	20210824	한국어	교통	항공&배편	도내배편	우도	숙박	게스트하우스	정원	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210824	우도	비
749	20210813	한국어	교통	항공&배편	도내배편	우도					일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210813	우도	비
750	20210813	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210813	우도	비
751	20210825	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210825	우도	비
752	20210830	한국어	교통	항공&배편	도내배편	우도	왕복	선적			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210831	우도	구름조금
753	20210808	한국어	교통	항공&배편	도내배편	우도	운항				일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210808	우도	비
