INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
970	20211011	한국어	교통	항공&배편	도내배편	마라도	운진항	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211011	마라도	비
971	20211012	한국어	교통	항공&배편	입도배편	마라도	우도	문자	안전	제주	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211012	마라도	비
972	20211012	한국어	교통	항공&배편	도내배편	마라도	선사	이용			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211012	마라도	비
973	20211021	한국어	교통	항공&배편	도내배편	마라도	주차장	문자	무료	안전	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211021	마라도	구름많음
974	20211013	한국어	교통	항공&배편	도내배편	마라도	운진항	송악산	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211013	마라도	비
975	20211017	한국어	교통	항공&배편	도내배편	마라도	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211017	마라도	맑음
976	20211012	한국어	교통	항공&배편	도내배편	마라도	우도	유선	가파도	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211012	마라도	비
977	20211028	한국어	교통	항공&배편	도내배편	마라도	선사	이용	가파도	문의처	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211028	마라도	구름조금
978	20211011	한국어	교통	항공&배편	도내배편	마라도	성산	우도	성산항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211011	마라도	비
979	20211012	한국어	교통	항공&배편	도내배편	마라도	가파도	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211012	마라도	비
980	20211014	한국어	교통	항공&배편	도내배편	마라도	운항				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211014	마라도	흐림
981	20211018	한국어	교통	항공&배편	도내배편	마라도	가파도	운진항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211018	마라도	구름조금
982	20211004	한국어	교통	버스	버스운영정보	마라도	선사	유선	숙박	문자	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211004	마라도	구름조금
983	20211022	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211022	성산	구름조금
984	20211020	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211020	성산	흐림
985	20211001	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211001	성산	맑음
986	20211021	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211021	성산	구름많음
987	20211013	한국어	교통	항공&배편	도내배편	성산	우도	정상운영	성산항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211013	성산	비
988	20211008	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211008	성산	구름조금
989	20211003	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211006	성산	구름조금
990	20211003	한국어	교통	항공&배편	도내배편	성산	현장	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211003	성산	맑음
991	20211004	한국어	교통	항공&배편	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211004	성산	구름조금
992	20211007	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211007	성산	구름조금
993	20211010	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211010	성산	구름많음
994	20211019	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211019	성산	구름많음
995	20211010	한국어	교통	항공&배편	도내배편	성산	우도	성산포항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211010	성산	구름많음
996	20211012	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211012	성산	비
997	20211015	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211015	성산	구름많음
998	20211017	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211017	성산	맑음
999	20211012	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211012	성산	비
1000	20211026	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211026	성산	맑음
1001	20211028	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211028	성산	맑음
1002	20211004	한국어	교통	항공&배편	도내배편	성산	우도	성산항	시간표	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211004	성산	구름조금
1003	20211027	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211027	성산	맑음
1004	20211013	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211013	성산	비
1005	20211015	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211015	성산	구름많음
1006	20211018	한국어	교통	항공&배편	도내배편	성산	성산항	종달리항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211018	성산	구름조금
1007	20211018	한국어	교통	항공&배편	도내배편	성산	문자	서귀포	성산항	제주	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211018	성산	구름조금
1008	20211013	한국어	교통	항공&배편	도내배편	성산	우도	성산항	문의처	종달리항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211013	성산	비
1009	20211006	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211006	성산	구름조금
1010	20211013	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211115	성산	맑음
1011	20211009	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211009	성산	비
1012	20211009	한국어	교통	항공&배편	도내배편	성산	우도	문자	안전	성산항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20211009	성산	비
1013	20211029	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211029	성산	구름조금
1014	20211023	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211023	성산	맑음
1015	20211011	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20211011	성산	비
